SeqName	GO IDs
ostta01g01470	C:GO:0005743; C:GO:0016021; C:GO:0044455
ostta01g01480	
ostta01g01490	C:GO:0000015; F:GO:0000287; F:GO:0004634; P:GO:0006096; P:GO:0006511; P:GO:0016579; F:GO:0036459
ostta01g01500	C:GO:0000015; F:GO:0000287; F:GO:0004634; P:GO:0006096; P:GO:0006511; P:GO:0016579; F:GO:0036459
ostta01g01510	F:GO:0004615; C:GO:0005829; P:GO:0006013; P:GO:0006487; P:GO:0009298; P:GO:0009651; F:GO:0016787; P:GO:0019853; P:GO:0045047
ostta01g01520	
ostta01g01530	F:GO:0003980; P:GO:0006486; P:GO:0097359
ostta01g01540	F:GO:0003676
ostta01g01550	F:GO:0003723
ostta01g01560	P:GO:0006006; P:GO:0009409; P:GO:0009416; C:GO:0009535; C:GO:0009570; P:GO:0009744; C:GO:0009941; C:GO:0010319; F:GO:0016620; P:GO:0046686; C:GO:0048046; F:GO:0050661; F:GO:0051287; P:GO:0055114
ostta01g01570	C:GO:0005623; P:GO:0045454
ostta01g01580	
ostta01g01590	P:GO:0000050; F:GO:0004585; C:GO:0009507; F:GO:0016597; P:GO:0042450
ostta01g01600	F:GO:0003743; F:GO:0005515; P:GO:0006413
ostta01g01610	F:GO:0005515; F:GO:0016301; P:GO:0016310; F:GO:0016798
ostta01g01620	
ostta01g01630	F:GO:0008521; P:GO:0015876; C:GO:0016021
ostta01g01640	F:GO:0008521; P:GO:0015876; C:GO:0016021
ostta01g01650	F:GO:0008521; P:GO:0015876; C:GO:0016021
ostta01g01660	
ostta01g01670	P:GO:0000398; C:GO:0000932; F:GO:0003723; C:GO:0005688; C:GO:0005829; C:GO:0046540; C:GO:0071011; C:GO:0071013; C:GO:1990726
ostta01g01680	F:GO:0005096; C:GO:0005622; P:GO:0006886; C:GO:0012505; F:GO:0017137; P:GO:0031338; P:GO:0090630
ostta01g01690	P:GO:0000413; F:GO:0003755; C:GO:0009535; C:GO:0031977
ostta01g01700	F:GO:0003723
ostta01g01710	C:GO:0009507; C:GO:0016020; C:GO:0016021
ostta01g01720	F:GO:0001055; F:GO:0003677; C:GO:0005665; C:GO:0005829; P:GO:0006366; C:GO:0009506; F:GO:0032549; P:GO:0035196
ostta01g01730	
ostta01g01740	P:GO:0001510; P:GO:0006396; F:GO:0030697
ostta01g01750	P:GO:0002943; F:GO:0017150; F:GO:0046872; F:GO:0050660; P:GO:0055114
ostta01g01760	
ostta01g01770	C:GO:0005634; C:GO:0005635; C:GO:0005737; F:GO:0043565; F:GO:0046872; P:GO:1900458
ostta01g01780	F:GO:0004674; F:GO:0005524; P:GO:0006468
ostta01g01790	F:GO:0003723
ostta01g01800	F:GO:0008565; P:GO:0009306; C:GO:0009535; C:GO:0009941; C:GO:0016021; C:GO:0033281
ostta01g01810	F:GO:0008168; P:GO:0032259
ostta01g01820	F:GO:0016746
ostta01g01830	F:GO:0005198; P:GO:0006886; P:GO:0016192; C:GO:0030130; C:GO:0030132; F:GO:0032051; P:GO:0048268; C:GO:0071439
ostta01g01850	F:GO:0016702; F:GO:0046872; P:GO:0055114
ostta01g01860	P:GO:0001510; F:GO:0003723; P:GO:0006396; F:GO:0008173; F:GO:0009976
ostta01g01870	
ostta01g01880	
ostta01g01890	F:GO:0005515
ostta01g01900	C:GO:0016021
ostta01g01910	
ostta01g01920	C:GO:0016021
ostta01g01930	C:GO:0016021
ostta01g01940	F:GO:0005515
ostta01g01950	P:GO:0000387; C:GO:0005681; F:GO:0017070; F:GO:0036002; P:GO:0045292; F:GO:0046872
ostta01g01960	
ostta01g01970	C:GO:0016021
ostta01g01980	P:GO:0000105; F:GO:0000287; F:GO:0003879; C:GO:0009570
ostta01g01990	P:GO:0006139; F:GO:0016787
ostta01g02000	F:GO:0016491; P:GO:0055114
ostta01g02010	F:GO:0004722; P:GO:0006470; F:GO:0046872
ostta01g02020	C:GO:0016021; P:GO:0055085
ostta01g02030	F:GO:0003824; F:GO:0004222; C:GO:0005576; P:GO:0005975; P:GO:0006508; C:GO:0016020; C:GO:0016021; F:GO:0016829; F:GO:0030246
ostta01g02040	C:GO:0005576; P:GO:0005975; C:GO:0016021; F:GO:0016829; F:GO:0030246
ostta01g02050	C:GO:0016021
ostta01g02060	
ostta01g02070	F:GO:0004222; P:GO:0006508; C:GO:0016020; C:GO:0016021
ostta01g02080	C:GO:0016021
ostta01g02090	P:GO:0007165; C:GO:0016020; C:GO:0016021
ostta01g02100	F:GO:0003723
ostta01g02110	C:GO:0016021
ostta01g02120	C:GO:0000439; P:GO:0006289; P:GO:0006355
ostta01g02130	F:GO:0004519; P:GO:0090305
ostta01g02140	
ostta01g02150	C:GO:0016020; F:GO:0016787
ostta01g02160	F:GO:0003743; F:GO:0005515; P:GO:0006413
ostta01g02170	F:GO:0004252; F:GO:0004674; F:GO:0005524; C:GO:0005739; P:GO:0006468; P:GO:0006508; F:GO:0008270; C:GO:0009535; C:GO:0009840; F:GO:0050897
ostta01g02180	F:GO:0004252; F:GO:0004674; F:GO:0005515; F:GO:0005524; P:GO:0006468; P:GO:0006508
ostta03g04025	C:GO:0005737; P:GO:0006633; C:GO:0016021; F:GO:0016628; F:GO:0016836; P:GO:0055114
ostta01g02200	F:GO:0046872
ostta01g02210	F:GO:0003924; F:GO:0005200; F:GO:0005525; C:GO:0005737; C:GO:0005874; P:GO:0007010; P:GO:0007017
ostta01g02220	F:GO:0004316; F:GO:0005507; P:GO:0006633; C:GO:0009570; C:GO:0009941; F:GO:0051287; P:GO:0055114
ostta01g02230	
ostta01g02240	C:GO:0000502; F:GO:0005488; P:GO:0043248
ostta01g02250	F:GO:0003899; C:GO:0005634; P:GO:0006351
ostta01g02260	
ostta01g02270	P:GO:0000902; F:GO:0005524; C:GO:0005885; P:GO:0034314
ostta01g02280	P:GO:0007015
ostta01g02290	F:GO:0046872
ostta01g02300	F:GO:0003676; F:GO:0003723; F:GO:0004672; C:GO:0005634; P:GO:0006468; C:GO:0016020; C:GO:0016021
ostta01g02310	
ostta01g02320	F:GO:0003735; C:GO:0005840; P:GO:0006412
ostta01g02330	F:GO:0008168; C:GO:0016020; C:GO:0016021; F:GO:0016740; P:GO:0032259
ostta01g02340	C:GO:0016021
ostta01g02350	F:GO:0005515
ostta01g02360	C:GO:0005737; F:GO:0016462
ostta01g02370	C:GO:0005768; P:GO:0006886; F:GO:0008565
ostta01g02380	F:GO:0000993; F:GO:0003746; P:GO:0006368; P:GO:0006414; C:GO:0008023; F:GO:0046872; P:GO:0048096
ostta01g02390	F:GO:0004655; P:GO:0006782; C:GO:0009507; P:GO:0015995; F:GO:0046872
ostta01g02400	F:GO:0003735; P:GO:0006412; C:GO:0022627
ostta01g02410	P:GO:0000413; F:GO:0003755
ostta01g02420	C:GO:0016021
ostta01g02430	F:GO:0005524; P:GO:0006281; P:GO:0006310; F:GO:0016787
ostta01g02440	F:GO:0003825; P:GO:0005992
ostta01g02450	F:GO:0005525; F:GO:0016787
ostta01g02460	F:GO:0003824
ostta01g02470	C:GO:0016020; C:GO:0016021; P:GO:0055085
ostta01g02480	F:GO:0004073; C:GO:0005737; P:GO:0009086; P:GO:0009088; P:GO:0009089; P:GO:0009097; F:GO:0046983; F:GO:0050661; F:GO:0051287; P:GO:0055114
ostta01g02490	C:GO:0000139; F:GO:0005198; F:GO:0005515; P:GO:0006886; P:GO:0016192; C:GO:0030117; C:GO:0030663
ostta01g02500	F:GO:0004525; P:GO:0006396; P:GO:0090502
ostta01g02510	
ostta01g02520	F:GO:0003723; C:GO:0005737; C:GO:0005847; P:GO:0006378; P:GO:0006379; C:GO:0009506; P:GO:0035194
ostta01g02530	F:GO:0003674; C:GO:0005575; P:GO:0008150; F:GO:0097602; P:GO:2000060
ostta01g02540	C:GO:0016021
ostta01g02560	F:GO:0005515; P:GO:0006396
ostta01g02570	P:GO:0006400
ostta01g02580	F:GO:0003677; F:GO:0003678; F:GO:0005524; C:GO:0005634; P:GO:0006270; P:GO:0032508; C:GO:0042555
ostta01g02590	
ostta01g02600	C:GO:0016021
ostta01g02610	P:GO:0009987
ostta01g02620	C:GO:0016020; C:GO:0016021
ostta01g02630	P:GO:0016255; C:GO:0042765
ostta01g02640	P:GO:0006541; F:GO:0016740
ostta01g02650	F:GO:0003997; C:GO:0005777; P:GO:0006635; F:GO:0071949
ostta01g02660	C:GO:0009507; C:GO:0009570; F:GO:0016787
ostta01g02670	C:GO:0016021
ostta01g02680	F:GO:0003723; C:GO:0005681; P:GO:0006396
ostta01g02690	F:GO:0004842; P:GO:0009266; P:GO:0009651; P:GO:0009737; P:GO:0016567; F:GO:0051087
ostta01g02700	C:GO:0000220; P:GO:0007035; P:GO:0015991; C:GO:0016021; F:GO:0046961
ostta01g02710	C:GO:0005623; C:GO:0016021; P:GO:0045454
ostta01g02720	C:GO:0005623; P:GO:0045454
ostta01g02730	F:GO:0005488; F:GO:0016787
ostta01g02740	C:GO:0005759; P:GO:0006629; P:GO:0006879; F:GO:0008198; P:GO:0016226; F:GO:0016787; F:GO:0036455; F:GO:0051537; F:GO:0051539; P:GO:0097428
ostta01g02750	F:GO:0005506; C:GO:0005759; P:GO:0006629; C:GO:0016021; P:GO:0016226; F:GO:0016787; F:GO:0051537
ostta01g02760	F:GO:2001070
ostta01g02770	C:GO:0005622; P:GO:0009190; F:GO:0016849; P:GO:0035556
ostta01g02780	F:GO:0005515; P:GO:0007165
ostta01g02790	F:GO:0008146; C:GO:0016021; P:GO:0016051
ostta01g02800	
ostta01g02810	
ostta01g02820	C:GO:0016020; C:GO:0016021
ostta01g02830	F:GO:0016874
ostta01g02840	F:GO:0016740
ostta01g02850	F:GO:0004674; F:GO:0005524; C:GO:0005634; C:GO:0005737; P:GO:0006468; P:GO:0006970; P:GO:0035556
ostta01g02860	
ostta01g02870	P:GO:0008152
ostta01g02880	
ostta01g02890	F:GO:0004721; F:GO:0005515; C:GO:0005634; P:GO:0006470
ostta01g02910	
ostta01g02920	F:GO:0005515; P:GO:0009737; P:GO:0045893
ostta01g02930	F:GO:0003723; F:GO:0003724; F:GO:0005524; C:GO:0005773; P:GO:0006813; P:GO:0016441; P:GO:0035864; C:GO:0055087; P:GO:0070478
ostta01g02940	F:GO:0003676; F:GO:0004386; F:GO:0005524
ostta01g02950	
ostta01g02960	F:GO:0004045; C:GO:0009507
ostta01g02970	C:GO:0000124; F:GO:0004843; C:GO:0005669; P:GO:0006352; P:GO:0006511; F:GO:0008479; P:GO:0016579; C:GO:0046695; F:GO:0046982; P:GO:0101030
ostta01g02980	F:GO:0008168; P:GO:0032259; F:GO:0046982
ostta01g02990	F:GO:0004843; C:GO:0005669; P:GO:0006352; P:GO:0006511; F:GO:0008479; P:GO:0016579; F:GO:0046982; P:GO:0101030
ostta01g03000	F:GO:0004843; C:GO:0005669; C:GO:0005737; P:GO:0006352; P:GO:0006511; F:GO:0008479; P:GO:0016579; F:GO:0046872; F:GO:0046982; P:GO:0101030
ostta01g03010	F:GO:0004843; C:GO:0005669; P:GO:0006352; P:GO:0006511; F:GO:0008479; P:GO:0016579; F:GO:0046982; P:GO:0101030
ostta01g03020	F:GO:0004843; C:GO:0005669; P:GO:0006352; P:GO:0006511; F:GO:0008479; P:GO:0016579; F:GO:0016853; F:GO:0046982; P:GO:0101030
ostta01g03030	C:GO:0016020; F:GO:0016491; F:GO:0051536; P:GO:0055114; F:GO:0071949
ostta01g03040	F:GO:0004332; P:GO:0006096; C:GO:0009536
ostta01g03050	P:GO:0005975; F:GO:0030246; F:GO:0051060
ostta01g03060	F:GO:0016787
ostta01g03070	F:GO:0001671; C:GO:0005829; P:GO:0006950; P:GO:0032781; F:GO:0051087
ostta01g03080	
ostta01g03090	F:GO:0051213; P:GO:0055114
ostta01g03100	F:GO:0003723; F:GO:0004004; F:GO:0005524; C:GO:0005681; C:GO:0005730; C:GO:0005829; P:GO:0006397; P:GO:0008380
ostta01g03110	F:GO:0004298; C:GO:0005839; P:GO:0043161
ostta01g03120	F:GO:0004514; F:GO:0004516; P:GO:0009435; P:GO:0019358
ostta01g03130	F:GO:0005488; C:GO:0043229
ostta01g03140	F:GO:0004129; C:GO:0005740; P:GO:0022900; P:GO:1902600
ostta01g03150	P:GO:0000462; F:GO:0003735; C:GO:0005730; P:GO:0006412; C:GO:0022627; F:GO:0070181
ostta01g03160	P:GO:0007094
ostta01g03170	F:GO:0005509; C:GO:0009654; P:GO:0015979; C:GO:0019898
ostta01g03180	F:GO:0000166; C:GO:0005737; C:GO:0005739; F:GO:0016853; P:GO:0046496; F:GO:0046872; F:GO:0052856
ostta01g03190	F:GO:0003743; F:GO:0003746; P:GO:0006413; P:GO:0006452; P:GO:0010089; F:GO:0043022; P:GO:0045901; P:GO:0045905
ostta01g03200	F:GO:0003746; P:GO:0006452; F:GO:0043022; P:GO:0045901; P:GO:0045905
ostta01g03210	P:GO:0006810
ostta01g03220	P:GO:0016226; C:GO:0097361
ostta01g03230	F:GO:0005509; C:GO:0009654; P:GO:0015979; C:GO:0019898
ostta01g03240	C:GO:0005682
ostta01g03250	F:GO:0005509; C:GO:0016021
ostta01g03260	C:GO:0016021
ostta01g03270	F:GO:0016779
ostta01g03280	F:GO:0003989; F:GO:0005524; P:GO:0006633; F:GO:0046872
ostta01g03290	C:GO:0005737; C:GO:0043231
ostta01g03300	F:GO:0008942; P:GO:0042128; F:GO:0051537; P:GO:0055114
ostta01g03310	F:GO:0005509
ostta01g03320	C:GO:0016021
ostta01g03330	F:GO:0005506; F:GO:0016705; F:GO:0031418; P:GO:0055114
ostta01g03340	P:GO:0000338; F:GO:0003714; C:GO:0005829; C:GO:0008180; P:GO:0045892
ostta01g03350	F:GO:0008270; C:GO:0016021
ostta01g03360	
ostta01g03370	
ostta01g03380	F:GO:0003677; F:GO:0003899; C:GO:0005666; P:GO:0006383
ostta01g03390	F:GO:0004853; C:GO:0005829; P:GO:0006782
ostta01g03400	C:GO:0016021
ostta01g03410	F:GO:0008641; C:GO:0009536; F:GO:0061503; P:GO:0061504
ostta01g03420	F:GO:0004427; F:GO:0009678; C:GO:0016021; P:GO:1902600
ostta01g03430	P:GO:0044237; P:GO:0044238; P:GO:0071704
ostta01g03440	F:GO:0016787
ostta01g03450	F:GO:0016787
ostta01g03460	F:GO:0016787
ostta01g03470	
ostta01g03480	F:GO:0003676
ostta01g03490	F:GO:0003746; P:GO:0006351; P:GO:0006414
ostta01g03500	F:GO:0004177; P:GO:0006508; F:GO:0030145
ostta01g03510	
ostta01g03520	C:GO:0016021; P:GO:0055085
ostta01g03530	F:GO:0000095; C:GO:0005743; P:GO:0006839; C:GO:0009941; C:GO:0016021; F:GO:0016740; P:GO:0055085
ostta01g03540	F:GO:0005515; C:GO:0042721; P:GO:0045039
ostta01g03550	
ostta01g03560	F:GO:0005515
ostta01g03570	P:GO:0000398; F:GO:0003723; F:GO:0005515; C:GO:0071006; C:GO:0071013
ostta01g03580	F:GO:0003723; P:GO:0006396
ostta01g03590	
ostta01g03600	F:GO:0003883; F:GO:0005524; P:GO:0006541; F:GO:0016740; P:GO:0044210
ostta01g03610	F:GO:0003883; F:GO:0005524; P:GO:0006541; P:GO:0044210
ostta01g03620	P:GO:0006541; F:GO:0016740
ostta01g03630	F:GO:0004601; C:GO:0005643; P:GO:0006913; P:GO:0006979; F:GO:0017056; F:GO:0020037; F:GO:0046872; P:GO:0055114; P:GO:0098869
ostta01g03640	P:GO:0000302; F:GO:0004130; F:GO:0020037; P:GO:0034599; P:GO:0042744; P:GO:0055114; P:GO:0098869
ostta01g03650	F:GO:0004090; F:GO:0016491; P:GO:0055114
ostta01g03660	C:GO:0016021
ostta01g03670	
ostta01g03680	F:GO:0003725; F:GO:0016740
ostta01g03690	C:GO:0016021
ostta01g03700	
ostta01g03710	
ostta01g03720	F:GO:0003677; C:GO:0005634; F:GO:0008168; P:GO:0032259
ostta01g03730	
ostta01g03740	C:GO:0016021
ostta01g03750	F:GO:0016301; P:GO:0016310
ostta01g03760	F:GO:0005515; F:GO:0005524; C:GO:0005618; C:GO:0005634; C:GO:0005794; C:GO:0005829; C:GO:0005856; P:GO:0007049; C:GO:0009524; P:GO:0015031; C:GO:0016021; F:GO:0016787; P:GO:0051301
ostta01g03770	F:GO:0005524; C:GO:0005618; C:GO:0005730; C:GO:0005753; F:GO:0008270; C:GO:0009507; P:GO:0015986; C:GO:0016021; C:GO:0045261; F:GO:0046933; P:GO:0099132
ostta01g03780	C:GO:0005634
ostta01g03790	F:GO:0003924; F:GO:0005525
ostta01g03800	C:GO:0009507; P:GO:0009793
ostta01g03810	F:GO:0004367; P:GO:0005975; C:GO:0009331; P:GO:0046168; F:GO:0051287; P:GO:0055114
ostta01g03820	
ostta01g03830	C:GO:0016020; C:GO:0016021
ostta01g03840	F:GO:0003824
ostta01g03850	F:GO:0005515; P:GO:0009987; C:GO:0016021; F:GO:0046872
ostta01g03860	C:GO:0016021
ostta01g03870	C:GO:0005634; P:GO:0006508; F:GO:0008237; P:GO:0044260; P:GO:0090304
ostta01g03880	F:GO:0000977; F:GO:0003700; C:GO:0005634; P:GO:0006355
ostta01g03890	P:GO:0000070; C:GO:0000776; C:GO:0000779; C:GO:0000786; P:GO:0006334; F:GO:0019237; F:GO:0031492; C:GO:0044454; F:GO:0046982; P:GO:0051301; P:GO:0051307; P:GO:0051382
ostta01g03900	C:GO:0071011
ostta01g03910	F:GO:0004689; F:GO:0005509; C:GO:0005622; P:GO:0006468; P:GO:0019722
ostta01g03920	C:GO:0009507; C:GO:0009534; C:GO:0009941
ostta01g03930	C:GO:0000228; F:GO:0005515
ostta01g03940	C:GO:0005829; P:GO:0006457; C:GO:0016272; P:GO:0034622; P:GO:0043622; F:GO:0051082
ostta01g03950	F:GO:0003690; F:GO:0003723; P:GO:0006355; P:GO:0006996; P:GO:0032502
ostta01g03960	F:GO:0003677
ostta01g03970	C:GO:0005634; P:GO:0006355
ostta01g03980	F:GO:0008017; F:GO:0017137; C:GO:0031514; P:GO:0048870
ostta01g03990	P:GO:0000413; F:GO:0003755; F:GO:0005515; F:GO:0005528; C:GO:0005737; P:GO:0061077
ostta01g04000	F:GO:0004252; P:GO:0006508; C:GO:0016021
ostta01g04010	P:GO:0001510; P:GO:0006396; F:GO:0008173
